timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 11:23:47.866, 1575, 69, 548.28, 100
2026/07/21 11:23:49.040, 1440, 70, 553.40, 98
2026/07/21 11:23:50.214, 1560, 69, 552.41, 100
2026/07/21 11:23:51.396, 1470, 70, 554.28, 98
2026/07/21 11:23:52.574, 1545, 70, 551.76, 100
2026/07/21 11:23:53.751, 1530, 70, 553.03, 98
2026/07/21 11:23:54.927, 1440, 70, 554.52, 100
2026/07/21 11:23:56.103, 1560, 70, 549.79, 98
2026/07/21 11:23:57.283, 1455, 70, 553.09, 100
2026/07/21 11:23:58.465, 1455, 70, 553.79, 98
2026/07/21 11:23:59.644, 1605, 70, 549.46, 100
2026/07/21 11:24:00.817, 1470, 70, 553.56, 98
2026/07/21 11:24:01.995, 1590, 70, 550.97, 100
2026/07/21 11:24:03.176, 1440, 71, 555.68, 98
2026/07/21 11:24:04.353, 1455, 71, 556.04, 100
2026/07/21 11:24:05.527, 1605, 70, 550.33, 98
2026/07/21 11:24:06.706, 1425, 70, 552.51, 100
2026/07/21 11:24:07.882, 1485, 70, 551.47, 98
2026/07/21 11:24:09.058, 1455, 70, 548.77, 100
2026/07/21 11:24:10.230, 1470, 71, 553.17, 98
2026/07/21 11:24:11.409, 1500, 70, 551.95, 100
2026/07/21 11:24:12.585, 1440, 71, 553.46, 98
2026/07/21 11:24:13.751, 1965, 61, 441.52, 0
2026/07/21 11:24:14.910, 1980, 54, 146.69, 0
2026/07/21 11:24:16.072, 1980, 53, 145.20, 0
